Date,Open,High,Low,Close,,,,close,¥X¤â,¥¿½T,
2012/1/2,7022,7051,6928,6945,-1,29,65,25,,,
2012/1/3,7020,7087,7002,7047,1,67,89,52,1,,
2012/1/4,7084,7109,7043,7072,0,25,40,35,,,
2012/1/5,7088,7124,7061,7119,0,36,29,-4,,,
2012/1/6,7100,7117,7060,7084,0,17,-18,-43,,,
2012/1/9,7047,7082,7026,7057,0,35,133,120,,,
2012/1/10,7120,7180,7111,7167,0,60,76,59,,,
2012/1/11,7185,7196,7167,7179,0,11,9,0,,,
2012/1/12,7185,7194,7161,7185,0,9,78,-24,,,
2012/1/13,7235,7263,7147,7161,0,28,45,-145,,,
2012/1/16,7236,7280,7071,7090,-1,44,-8,-11,,,
2012/1/17,7152,7228,7118,7225,1,76,96,55,1,,
2012/1/18,7224,7248,7192,7207,0,24,224,168,,,
2012/1/30,7352,7448,7351,7392,1,96,151,116,1,1,
2012/1/31,7444,7503,7422,7468,0,59,104,78,,,
2012/2/1,7492,7548,7476,7522,0,56,158,149,,,
2012/2/2,7620,7650,7566,7641,0,30,30,20,,,
2012/2/3,7620,7650,7602,7640,0,30,138,113,,,
2012/2/4,7720,7758,7693,7733,0,38,4,-37,,,
2012/2/6,7706,7724,7668,7683,0,18,44,14,,,
2012/2/7,7706,7750,7675,7720,1,44,189,182,1,,
2012/2/8,7766,7895,7760,7888,1,129,167,154,1,1,1
2012/2/9,7860,7933,7829,7920,1,73,68,5,1,,
2012/2/10,7876,7928,7850,7865,0,52,61,29,,,
2012/2/13,7875,7937,7841,7905,1,62,39,-1,1,,
2012/2/14,7905,7914,7807,7874,0,9,105,100,,,
2012/2/15,7924,8010,7890,8005,1,86,70,-19,1,,
2012/2/16,7968,7994,7867,7905,-1,26,53,-39,,,
2012/2/17,7982,8021,7880,7929,-1,39,22,-25,,,
2012/2/20,7989,8004,7927,7957,0,15,-14,-42,,,
2012/2/21,7954,7975,7854,7947,-1,21,82,51,,,
2012/2/22,7918,8036,7889,8005,0,118,73,45,,,1
2012/2/23,7960,7991,7941,7963,0,31,15,-17,,,
2012/2/24,7945,7975,7883,7943,0,30,181,166,,,
2012/2/29,8006,8126,8002,8111,1,120,171,133,1,1,1
2012/3/1,8143,8177,8114,8139,0,34,44,9,,,
2012/3/2,8180,8187,8112,8152,0,7,-50,-60,,,
2012/3/3,8130,8130,8086,8120,0,0,-23,-92,,,
2012/3/5,8101,8107,8003,8038,0,6,-67,-156,,,
2012/3/6,8020,8034,7871,7945,0,14,-91,-128,,,
2012/3/7,7854,7929,7840,7892,0,75,146,122,,,
2012/3/8,7938,8000,7883,7976,0,62,92,65,,,
2012/3/9,7990,8030,7942,8003,0,40,18,-63,,,
2012/3/12,7998,8008,7908,7927,0,10,67,34,,,
2012/3/13,7967,8065,7965,8032,0,98,221,173,,,
2012/3/14,8154,8188,8132,8140,0,34,4,-19,,,
2012/3/15,8140,8158,8090,8135,0,18,3,-72,,,
2012/3/16,8130,8143,8058,8068,0,13,-14,-80,,,
2012/3/19,8113,8116,7972,8050,0,3,-35,-129,,,
2012/3/20,8077,8078,7952,7984,-1,1,-61,-97,,,
2012/3/21,7966,8016,7951,7980,0,50,129,115,,,
2012/3/22,8009,8095,7986,8081,0,86,92,71,,,
2012/3/23,8101,8101,8051,8080,0,0,-5,-142,,,
2012/3/26,8081,8096,7938,7959,-1,15,-59,-69,,,
2012/3/27,8000,8022,7973,8012,0,22,79,28,,,
2012/3/28,8015,8079,7996,8028,0,64,-9,-166,,,
2012/3/29,7998,8006,7820,7849,-1,8,-91,-112,,,
2012/3/30,7810,7907,7786,7886,0,97,94,55,,,
2012/4/2,7888,7904,7835,7865,0,16,31,-110,,,
2012/4/3,7889,7919,7736,7778,-1,30,-226,-270,,,
2012/4/5,7651,7663,7523,7619,-1,12,37,21,,,
2012/4/6,7640,7688,7613,7672,0,48,-7,-63,,,
2012/4/9,7572,7633,7503,7577,0,61,111,38,,,
2012/4/10,7633,7683,7579,7610,0,50,17,5,,,
2012/4/11,7511,7650,7507,7638,1,139,137,123,1,1,1
2012/4/12,7610,7648,7568,7634,0,38,156,145,,,
2012/4/13,7701,7766,7685,7755,1,65,33,11,1,,
2012/4/16,7700,7734,7681,7712,0,34,39,-103,,,
2012/4/17,7708,7739,7585,7597,-1,31,-16,-88,,,
2012/4/18,7690,7692,7599,7620,0,2,-64,-77,,,
2012/4/19,7591,7626,7510,7613,0,35,8,-76,,,
2012/4/20,7581,7599,7489,7515,-1,18,-71,-103,,,
2012/4/23,7499,7510,7416,7478,-1,11,35,-11,,,
2012/4/24,7451,7534,7434,7488,0,83,122,88,,,1
2012/4/25,7544,7573,7510,7539,0,29,41,-48,,,
2012/4/26,7577,7585,7480,7496,-1,8,-16,-131,,,
2012/4/27,7546,7561,7435,7446,0,15,-77,-81,,,
2012/4/30,7444,7469,7395,7465,1,25,239,231,,,
2012/5/2,7496,7683,7491,7675,0,187,180,161,,,1
2012/5/3,7676,7676,7635,7657,0,0,9,-12,,,
2012/5/4,7615,7685,7583,7664,-1,70,-37,-113,,,
2012/5/7,7557,7578,7491,7502,-1,21,-12,-37,,,
2012/5/8,7520,7545,7493,7520,0,25,-30,-61,,,
2012/5/9,7468,7490,7417,7459,-1,22,48,11,,,
2012/5/10,7425,7516,7425,7479,0,91,39,-59,,,
2012/5/11,7458,7464,7356,7366,-1,6,-60,-89,,,
2012/5/14,7376,7398,7327,7369,0,22,30,8,,,
2012/5/15,7305,7406,7290,7384,1,101,81,-50,1,1,1
2012/5/16,7356,7386,7250,7255,-1,30,-23,-42,,,
2012/5/17,7266,7333,7251,7314,1,67,-36,-131,1,,
2012/5/18,7164,7230,7128,7135,-1,66,45,20,,,
2012/5/21,7179,7209,7156,7184,0,30,81,57,,,
2012/5/22,7250,7260,7202,7236,1,10,-80,-115,1,,
2012/5/23,7151,7170,7090,7135,-1,19,27,-22,,,
2012/5/24,7156,7178,7082,7129,0,22,3,-98,,,
2012/5/25,7155,7159,7048,7058,-1,4,-22,-41,,,
2012/5/28,7072,7133,7025,7114,1,61,264,222,1,1,
2012/5/29,7124,7336,7105,7294,1,212,149,110,1,1,1
2012/5/30,7270,7273,7196,7234,0,3,-15,-53,,,
2012/5/31,7142,7255,7085,7217,1,113,68,-46,1,1,1
2012/6/1,7200,7210,7075,7096,-1,10,-270,-331,,,
2012/6/4,6927,6930,6832,6869,-1,3,78,43,,,
2012/6/5,6949,7005,6925,6970,1,56,106,66,1,,
2012/6/6,6989,7055,6958,7015,1,66,157,58,1,,
2012/6/7,7135,7146,7020,7047,1,11,-95,-180,1,,
2012/6/8,7007,7040,6946,6955,-1,33,129,85,,,
2012/6/11,7090,7136,7059,7092,1,46,-52,-71,1,,
2012/6/12,6976,7038,6962,7019,1,62,94,72,1,,
2012/6/13,7049,7070,7002,7048,0,21,58,14,,,
2012/6/14,7042,7107,7033,7063,0,65,118,112,,,
2012/6/15,7050,7160,7042,7154,0,110,273,215,,,1
2012/6/18,7300,7323,7244,7265,1,23,-30,-35,1,,
2012/6/19,7266,7270,7234,7265,0,4,54,45,,,
2012/6/20,7293,7320,7281,7311,0,27,-130,-176,,,
2012/6/21,7160,7163,7093,7117,0,3,-113,-126,,,
2012/6/22,7002,7047,6995,7034,0,45,-24,-54,,,
2012/6/25,6952,6978,6938,6948,0,26,8,-13,,,
2012/6/26,6944,6960,6923,6939,0,16,61,42,,,
2012/6/27,6918,7005,6898,6986,0,87,119,83,,,
2012/6/28,7021,7037,6962,7001,0,16,107,93,,,
2012/6/29,6982,7128,6981,7114,1,146,170,154,1,1,1
2012/7/2,7133,7152,7107,7136,0,19,147,95,,,
2012/7/3,7177,7280,7161,7228,0,103,150,113,,,1
2012/7/4,7268,7327,7251,7290,0,59,53,29,,,
2012/7/5,7303,7321,7277,7297,0,18,16,-31,,,
2012/7/6,7288,7319,7237,7272,0,31,-16,-52,,,
2012/7/9,7204,7272,7202,7236,0,68,66,-23,,,
2012/7/10,7251,7270,7162,7181,-1,19,-47,-65,,,
2012/7/11,7138,7204,7133,7186,0,66,50,-59,,,
2012/7/12,7186,7188,7067,7079,-1,2,-78,-115,,,
2012/7/13,7070,7108,7045,7071,-1,38,40,-13,,,
2012/7/16,7089,7110,7020,7057,-1,21,47,18,,,
2012/7/17,7048,7136,7030,7107,0,88,69,12,,,
2012/7/18,7110,7117,7056,7060,0,7,-78,-88,,,
2012/7/19,6974,7032,6945,7022,1,58,65,39,,,
2012/7/20,7022,7039,6996,7013,0,17,-90,-149,,,
2012/7/23,6915,6932,6845,6873,-1,17,-26,-41,,,
2012/7/24,6862,6889,6850,6874,0,27,50,-16,,,
2012/7/25,6782,6912,6775,6846,-1,130,123,93,,,1
2012/7/26,6856,6905,6832,6875,0,49,175,172,,,
2012/7/27,6969,7031,6946,7028,1,62,133,109,1,,
2012/7/30,7082,7102,7055,7078,0,20,97,75,,,
2012/7/31,7102,7179,7061,7157,1,77,110,92,1,,
2012/8/1,7139,7212,7135,7194,0,73,25,1,,,
2012/8/3,7140,7164,7116,7140,0,24,174,97,,,
2012/8/6,7278,7314,7236,7237,0,36,-15,-42,,,
2012/8/7,7233,7263,7223,7236,0,30,103,67,,,
2012/8/8,7306,7336,7277,7300,0,30,146,132,,,
2012/8/9,7371,7452,7346,7438,1,81,94,73,1,,
2012/8/10,7453,7465,7425,7444,0,12,22,0,,,
2012/8/13,7444,7475,7430,7453,0,31,101,51,,,
2012/8/14,7484,7545,7451,7495,1,61,13,-16,1,,
2012/8/15,7489,7497,7433,7468,0,8,31,4,,,
2012/8/16,7460,7520,7441,7493,0,60,51,14,,,
2012/8/17,7503,7511,7467,7474,0,8,-28,-62,,,
2012/8/20,7464,7475,7398,7441,0,11,89,51,,,
2012/8/21,7465,7553,7458,7515,1,88,43,25,1,,
2012/8/22,7494,7508,7453,7490,0,14,40,19,,,
2012/8/23,7476,7534,7468,7513,1,58,14,11,1,,
2012/8/24,7450,7490,7442,7487,0,40,101,4,,,
2012/8/27,7535,7551,7452,7454,0,16,-92,-136,,,
2012/8/28,7435,7443,7375,7399,-1,8,-22,-32,,,
2012/8/29,7404,7413,7381,7403,0,9,-9,-37,,,
2012/8/30,7360,7395,7341,7367,-1,35,60,22,,,
2012/8/31,7375,7420,7363,7382,0,45,90,67,,,
2012/9/3,7370,7465,7352,7442,1,95,100,78,1,1,
2012/9/4,7443,7470,7430,7448,0,27,-32,-99,,,
2012/9/5,7401,7411,7341,7344,-1,10,-33,-69,,,
2012/9/6,7332,7368,7286,7332,-1,36,147,87,,,
2012/9/7,7471,7479,7404,7419,1,8,-2,-15,1,,
2012/9/10,7421,7469,7414,7456,1,48,69,44,1,,
2012/9/11,7437,7490,7436,7465,0,53,149,146,,,
2012/9/12,7525,7586,7510,7583,1,61,84,51,1,,
2012/9/13,7592,7609,7571,7576,0,17,166,146,,,
2012/9/14,7698,7758,7671,7738,1,60,69,52,1,,
2012/9/17,7739,7767,7726,7750,0,28,29,10,,,
2012/9/18,7742,7768,7713,7749,0,26,53,25,,,
2012/9/19,7757,7795,7739,7767,0,38,29,-8,,,
2012/9/20,7782,7786,7716,7749,0,4,1,-21,,,
2012/9/21,7765,7783,7748,7761,0,18,40,10,,,
2012/9/24,7747,7805,7685,7775,0,58,63,9,,,
2012/9/25,7792,7810,7744,7756,0,18,-67,-92,,,
2012/9/26,7691,7725,7670,7700,-1,34,39,37,,,
2012/9/27,7683,7730,7679,7728,0,47,65,36,,,
2012/9/28,7726,7748,7666,7719,-1,22,-20,-42,,,
2012/10/1,7690,7706,7666,7684,0,16,58,39,,,
2012/10/2,7716,7748,7693,7729,0,32,26,-12,,,
2012/10/3,7740,7742,7687,7704,0,2,-25,-34,,,
2012/10/4,7707,7715,7633,7706,0,8,26,-6,,,
2012/10/5,7711,7733,7680,7701,0,22,-19,-86,,,
2012/10/8,7677,7692,7612,7625,-1,15,-30,-81,,,
2012/10/9,7629,7647,7596,7596,0,18,-123,-185,,,
2012/10/11,7483,7506,7442,7444,-1,23,-20,-70,,,
2012/10/12,7434,7463,7385,7413,-1,29,0,-9,,,
2012/10/15,7396,7434,7385,7425,-1,38,66,62,,,
2012/10/16,7460,7462,7435,7458,0,2,65,0,,,
2012/10/17,7510,7525,7451,7460,0,15,-31,-57,,,
2012/10/18,7467,7479,7444,7453,0,12,2,-80,,,
2012/10/19,7468,7469,7385,7387,-1,1,-108,-121,,,
2012/10/22,7300,7360,7289,7347,0,60,50,-1,,,
2012/10/23,7342,7350,7293,7299,-1,8,5,-39,,,
2012/10/24,7230,7347,7225,7303,0,117,89,24,,,1
2012/10/25,7303,7319,7251,7254,-1,16,-16,-211,,,
2012/10/26,7226,7287,7090,7092,-1,61,-73,-105,,,
2012/10/29,7110,7153,7091,7121,0,43,110,52,,,
2012/10/30,7170,7220,7141,7162,1,50,42,-29,1,,
2012/10/31,7192,7212,7125,7141,0,20,0,-20,,,
2012/11/1,7098,7192,7029,7172,1,94,127,103,1,1,
2012/11/2,7214,7225,7182,7201,0,11,8,-33,,,
2012/11/5,7190,7222,7146,7181,0,32,69,66,,,
2012/11/6,7180,7259,7163,7256,0,79,113,76,,,
2012/11/7,7205,7293,7192,7256,1,88,15,-4,1,,
2012/11/8,7168,7220,7160,7201,0,52,133,118,,,
2012/11/9,7136,7301,7126,7286,1,165,168,107,1,1,1
2012/11/12,7265,7304,7238,7243,0,39,-26,-171,,,
2012/11/13,7227,7239,7092,7094,-1,12,-77,-99,,,
2012/11/14,7081,7150,7077,7128,0,69,75,40,,,
2012/11/15,7095,7156,7036,7121,0,61,84,12,,,
2012/11/16,7116,7179,7082,7107,0,63,52,5,,,
2012/11/19,7147,7168,7120,7121,0,21,34,12,,,
2012/11/20,7174,7181,7131,7159,0,7,4,-90,,,
2012/11/21,7176,7178,7051,7084,-1,2,-61,-87,,,
2012/11/22,7096,7115,7081,7089,0,19,231,223,,,
2012/11/23,7123,7327,7120,7319,1,204,286,265,1,1,1
2012/11/26,7362,7409,7357,7388,0,47,73,59,,,
2012/11/27,7410,7435,7380,7421,0,25,29,19,,,
2012/11/28,7407,7439,7390,7429,0,32,132,118,,,
2012/11/29,7470,7539,7465,7525,0,69,135,124,,,
2012/11/30,7535,7605,7524,7594,1,70,112,64,1,1,
2012/12/3,7596,7647,7560,7599,0,51,7,-3,,,
2012/12/4,7560,7603,7548,7593,0,43,118,91,,,
2012/12/5,7593,7678,7576,7651,0,85,80,46,,,
2012/12/6,7654,7673,7623,7639,0,19,37,5,,,
2012/12/7,7658,7691,7642,7659,0,33,28,-35,,,
2012/12/10,7680,7686,7600,7623,0,6,-35,-42,,,
2012/12/11,7639,7645,7579,7638,0,6,86,56,,,
2012/12/12,7657,7725,7652,7695,1,68,121,116,1,1,
2012/12/13,7718,7778,7708,7773,0,60,29,-14,,,
2012/12/14,7738,7747,7701,7704,-1,9,-31,-89,,,
2012/12/17,7690,7707,7615,7649,-1,17,-25,-37,,,
2012/12/18,7660,7665,7621,7653,0,5,49,-1,,,
2012/12/19,7698,7709,7655,7659,0,11,-65,-139,,,
2012/12/20,7631,7633,7556,7559,-1,2,-53,-139,,,
2012/12/21,7565,7578,7472,7492,-1,13,-7,-38,,,
2012/12/22,7556,7558,7523,7527,0,2,8,-35,,,
2012/12/24,7500,7564,7491,7521,0,64,188,171,,,
2012/12/25,7555,7688,7538,7671,0,133,130,77,,,1
2012/12/26,7651,7685,7623,7632,0,34,15,-23,,,
2012/12/27,7602,7666,7584,7628,0,64,106,75,,,
2012/12/28,7650,7708,7647,7677,0,58,,,,,
,,,,,,,,,42,15,17
